Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638db04800db8b75729b3210,58660808db3e720001e228d9,APPROVED,2022-12-05T08:48:08.768000Z,2022-12-05T08:53:10.621000Z,2022-12-05T12:47:00.103000,2022-12-05T08:53:11.092307Z,302,C648PKXQ,130,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db04881d95eecf7ef5233,5b257364a7cee100011d8831,APPROVED,2022-12-05T08:49:00.072000Z,2022-12-05T08:57:49.376000Z,2022-12-05T12:47:00.202000,2022-12-05T08:57:49.737027Z,530,C648PKXQ,763,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
638db048e57ba8237243dc32,5dcff5909595a10f6241c0f6,APPROVED,2022-12-05T08:54:03.645000Z,2022-12-05T09:30:40.215000Z,2022-12-05T12:47:00.302000,2022-12-05T09:30:40.558093Z,2197,C648PKXQ,746,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0492fae4f13d04a9683,5bf077098500d800010a99e0,APPROVED,2022-12-05T08:48:12.434000Z,2022-12-05T08:54:32.846000Z,2022-12-05T12:47:00.402000,2022-12-05T08:54:33.380699Z,381,C648PKXQ,2040,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db049724496c3d56f100c,571de12713b1b70012be47f6,APPROVED,2022-12-05T08:48:13.701000Z,2022-12-05T08:53:40.442000Z,2022-12-05T12:47:00.502000,2022-12-05T08:53:40.837116Z,327,C648PKXQ,2900,67,Male,Asian,India,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
638db04b621245af2c43dc26,5b7bf6c98c721a00015d1feb,APPROVED,2022-12-05T08:48:14.305000Z,2022-12-05T08:55:31.797000Z,2022-12-05T12:47:00.602000,2022-12-05T08:55:32.222185Z,438,C648PKXQ,1646,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db04b846da5c9f557ed32,5e469f9ef0d398000b1f13f2,APPROVED,2022-12-05T08:48:11.421000Z,2022-12-05T08:55:38.616000Z,2022-12-05T12:47:00.704000,2022-12-05T08:55:38.967533Z,448,C648PKXQ,1259,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
638db04c13245ea73f1b79dd,5f1eca10a2b0e500083737ef,APPROVED,2022-12-05T08:48:21.305000Z,2022-12-05T08:59:26.731000Z,2022-12-05T12:47:00.805000,2022-12-05T08:59:27.146675Z,666,C648PKXQ,883,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db04c49793690e278fe79,60534c39d754d351333bdd7c,APPROVED,2022-12-05T08:48:20.118000Z,2022-12-05T09:00:32.708000Z,2022-12-05T12:47:00.906000,2022-12-05T09:00:33.188884Z,733,C648PKXQ,696,73,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db04dc062498733ccdc28,57fde8979c39b3000179e347,APPROVED,2022-12-05T08:48:15.556000Z,2022-12-05T08:57:03.393000Z,2022-12-05T12:47:01.010000,2022-12-05T08:57:03.764249Z,528,C648PKXQ,1606,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db04e6a8b819a4505e384,60c20437c11bc80f4e6a70aa,APPROVED,2022-12-05T08:48:14.390000Z,2022-12-05T09:03:15.341000Z,2022-12-05T12:47:01.113000,2022-12-05T09:03:15.734186Z,901,C648PKXQ,103,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db04e9b9a38edd65f2a6e,6060b2cead1daacd69adb31f,APPROVED,2022-12-05T08:48:14.629000Z,2022-12-05T08:54:47.820000Z,2022-12-05T12:47:01.214000,2022-12-05T08:54:48.185160Z,394,C648PKXQ,738,36,Female,White,Spain,United Kingdom,Spain,Spanish,Yes,Full-Time
638db04fbd4782757b43d5d3,5b7550cb09105000015131ae,APPROVED,2022-12-05T08:48:15.899000Z,2022-12-05T08:58:31.922000Z,2022-12-05T12:47:01.317000,2022-12-05T08:58:32.303887Z,617,C648PKXQ,1277,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db04fd42725cae843dbbe,5ece8a3c088813259ffc1e0f,APPROVED,2022-12-05T08:48:15.219000Z,2022-12-05T08:54:47.755000Z,2022-12-05T12:47:01.417000,2022-12-05T08:54:48.162244Z,393,C648PKXQ,885,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db0502e1953136a182e9e,5fc67e7a8afba32fc5da37b6,APPROVED,2022-12-05T08:48:16.108000Z,2022-12-05T08:54:47.410000Z,2022-12-05T12:47:01.517000,2022-12-05T08:54:47.802067Z,392,C648PKXQ,369,41,Male,White,South Africa,United Kingdom,United Kingdom,English,No,Full-Time
638db052e382e24c7f4a969f,60b8a2ea5eb4ad8ae98302f9,APPROVED,2022-12-05T08:48:18.124000Z,2022-12-05T08:52:43.761000Z,2022-12-05T12:47:01.631000,2022-12-05T08:52:44.106121Z,266,C648PKXQ,817,42,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db053ae298ddfaeccdc21,6346a6356881c0d9ca618abf,APPROVED,2022-12-05T08:49:54.591000Z,2022-12-05T09:03:41.054000Z,2022-12-05T12:47:01.739000,2022-12-05T09:03:41.397123Z,827,C648PKXQ,97,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638db056de9379e0de88a170,59df9b4ebe399f0001e49853,APPROVED,2022-12-05T08:52:37.963000Z,2022-12-05T09:01:18.742000Z,2022-12-05T12:47:01.843000,2022-12-05T09:01:19.072884Z,521,C648PKXQ,979,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
638db057e60cc76f5880e3c2,568e997ce3ef9e000ca204d4,APPROVED,2022-12-05T08:48:39.624000Z,2022-12-05T09:00:32.406000Z,2022-12-05T12:47:01.945000,2022-12-05T09:00:32.835392Z,713,C648PKXQ,2091,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
638db058b6a8584fef9ed523,62b8b2be4c2b1d481f4f68c0,APPROVED,2022-12-05T08:48:27.891000Z,2022-12-05T08:56:40.713000Z,2022-12-05T12:47:02.061000,2022-12-05T08:56:41.142998Z,493,C648PKXQ,315,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638db058e5de08ea5c05e375,611578fe8cbea39bf4928b6d,APPROVED,2022-12-05T08:48:28.444000Z,2022-12-05T08:59:36.304000Z,2022-12-05T12:47:02.187000,2022-12-05T08:59:36.718034Z,668,C648PKXQ,1118,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638db059e04fe65984889c2e,60e18fc810d0837bef0f5873,APPROVED,2022-12-05T08:48:28.571000Z,2022-12-05T08:54:11.560000Z,2022-12-05T12:47:02.290000,2022-12-05T08:54:11.973012Z,343,C648PKXQ,907,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
